name,ver,size,deps,reqBy,reason,installed,desc
"talloc","2.4.4-1",177867,"glibc libbsd libxcrypt","","1","1771691681","Hierarchical pool based memory allocator with destructors"
"dconf","0.49.0-1",469439,"bash gcc-libs glib2 glibc","","1","1760793797","Configuration database system"
"resvg","0.47.0-2",12014058,"gdk-pixbuf2","","1","1771691681","SVG rendering library and CLI"
"go","2:1.26.0-1",225800984,"","","1","1771691680","Core compiler tools for the Go programming language"
"pangomm","2.46.4-1",514191,"cairomm glibmm pango libcairomm-1.0.so=1-64 libglibmm-2.4.so=1-64 libsigc-2.0.so=0-64","","1","1760794840","C++ bindings for Pango"
"spirv-tools","1:1.4.341.0-2",7961519,"libstdc++ glibc sh","","1","1772285548","API and commands for processing SPIR-V modules"
"acl","2.3.2-1",337902,"glibc","","1","1760765879","Access control list utilities, libraries and headers"
"libffi","3.5.2-1",105056,"glibc","","1","1760765879","Portable foreign function interface library"
"r","4.5.2-3",79595899,"bash blas bzip2 cairo curl gcc-libs glib2 glibc icu lapack libdeflate libjpeg-turbo libpng libtiff libtirpc libx11 libxmu libxt pango pcre2 readline tk unzip which xz zip zlib zstd","","","1766455301","Language and environment for statistical computing and graphics"
"libsamplerate","0.2.2-3",1621031,"glibc","","1","1760794778","An audio sample rate conversion library"
"hwdata","0.405-1",10288298,"","","1","1772802692","hardware identification databases"
"pacman","7.1.0.r9.g54d9411-1",5258416,"bash coreutils curl libcurl.so=4-64 gawk gettext glibc gnupg gpgme libgpgme.so=45-64 grep libarchive libarchive.so=13-64 openssl libcrypto.so=3-64 pacman-mirrorlist systemd libmakepkg-dropins","","1","1768835745","A library-based package manager with dependency support"
"mpdecimal","4.0.1-1",342959,"glibc gcc-libs","","1","1760794778","Package for correctly-rounded arbitrary precision decimal floating point arithmetic"
"liblsan","15.2.1+r604+g0b99615a8aef-1",552676,"glibc>=2.27","","1","1771691676","Leak Sanitizer runtime library shipped by GCC"
"bison","3.8.2-8",2644706,"gettext glibc m4 sh","","1","1760804355","The GNU general-purpose parser generator"
"pipewire-pulse","1:1.6.0-1",562896,"libpipewire=1:1.6.0-1 libpipewire-0.3.so=0-64 pipewire-audio=1:1.6.0-1 pipewire=1:1.6.0-1 avahi libavahi-client.so=3-64 libavahi-common.so=3-64 dbus libdbus-1.so=3-64 dconf glib2 libglib-2.0.so=0-64 libgobject-2.0.so=0-64 libgio-2.0.so=0-64 glibc libgcc libpulse libpulse.so=0-64 pipewire-session-manager","","","1772802695","Low-latency audio/video router and processor - PulseAudio replacement"
"oniguruma","6.9.10-1",923146,"","","1","1760794840","a regular expressions library"
"node-gyp","12.2.0-1",8220207,"nodejs nodejs-nopt semver","","1","1769654416","Node.js native addon build tool"
"uiua","0.17.3-1",41555840,"alsa-lib gcc-libs glibc libffi","","","1761499806","A stack-based array programming language"
"sound-theme-freedesktop","0.8-6",472275,"","","1","1760794933","Freedesktop sound theme"
"python-pyarrow","23.0.1-1",19371980,"arrow glibc libgcc libstdc++ python python-numpy","","","1771903271","Columnar in-memory analytics layer for big data — Python module."
"libbs2b","3.1.0-10",77436,"gcc-libs glibc libsndfile libsndfile.so=1-64","","1","1769309372","Bauer stereophonic-to-binaural DSP effect library"
"llvm-libs","21.1.8-1",157301389,"gcc-libs zlib zstd libffi libedit libxml2","","1","1771691676","LLVM runtime libraries"
"xdg-dbus-proxy","0.1.6-1",58309,"dbus gcc-libs glib2 glibc","","1","1760794933","Filtering proxy for D-Bus connections"
